MapChunk(cid=0, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=8, y=8, z=8)), leaf=false)
MapChunk(cid=1, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=4, y=4, z=4)), leaf=true)
MapBlock(pos=GameBlockPos(x=0, y=0, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=0, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=2, y=0, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=3, y=0, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=0, y=1, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=1, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=1, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=3, y=1, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=0, y=2, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=2, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=2, z=0), parent=1, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=2, z=0), parent=1, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=0), parent=1, material=898, object=819, temp=0, lux=0, p=10)
MapBlock(pos=GameBlockPos(x=1, y=3, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=2, y=3, z=0), parent=1, material=881, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=3, y=3, z=0), parent=1, material=923, object=819, temp=0, lux=0, p=100)
MapBlock(pos=GameBlockPos(x=0, y=0, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=0, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=2, y=0, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=3, y=0, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=0, y=1, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=1, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=1, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=1, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=2, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=2, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=2, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=2, z=1), parent=1, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=3, z=1), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=3, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=3, z=1), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=3, z=1), parent=1, material=880, object=-1, temp=0, lux=0, p=0)
MapBlock(pos=GameBlockPos(x=0, y=0, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=0, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=2, y=0, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=3, y=0, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=0, y=1, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=1, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=2, y=1, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=3, y=1, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
MapBlock(pos=GameBlockPos(x=0, y=2, z=2), parent=1, material=898, object=819, temp=0, lux=0, p=11)
MapBlock(pos=GameBlockPos(x=1, y=2, z=2), parent=1, material=923, object=819, temp=0, lux=0, p=101)
